pollsters,sample_size,numeric_grade,state,population,start_date,end_date,hypothetical_match_up,candidate_name,pct
AtlasIntel,1510,2.9,National,rv,2024-09-26,2024-09-29,FALSE,Kamala Harris,58.5
Marquette Law School,2340,2.7,Minnesota,rv,2024-09-01,2024-09-04,FALSE,Donald Trump,50.6
Beacon/Shaw,1046,3,Michigan,lv,2024-08-06,2024-08-10,FALSE,Donald Trump,55.6
Beacon/Shaw,833,2.7,Georgia,lv,2024-09-22,2024-09-25,TRUE,Donald Trump,47.6
AtlasIntel,702,3,Pennsylvania,rv,2024-07-31,2024-08-03,TRUE,Kamala Harris,49.6
Beacon/Shaw,447,2.8,Minnesota,rv,2024-08-17,2024-08-21,TRUE,Donald Trump,58.9
Suffolk,1356,2.9,Arizona,rv,2024-07-20,2024-07-23,TRUE,Donald Trump,56
Marquette Law School,1450,2.9,Arizona,rv,2024-08-31,2024-09-03,TRUE,Kamala Harris,49.5
Beacon/Shaw,723,2.9,Minnesota,rv,2024-07-30,2024-08-02,FALSE,Donald Trump,44
SurveyUSA,1702,2.7,National,lv,2024-10-04,2024-10-08,FALSE,Kamala Harris,41.9
Siena,546,2.7,Pennsylvania,rv,2024-09-30,2024-10-03,FALSE,Kamala Harris,41.1
AtlasIntel,1068,3,Georgia,lv,2024-07-30,2024-08-03,FALSE,Kamala Harris,53.3
Beacon/Shaw,599,2.8,Georgia,lv,2024-07-21,2024-07-25,TRUE,Kamala Harris,49.7
SurveyUSA,902,3,National,rv,2024-08-11,2024-08-15,TRUE,Donald Trump,42.1
Suffolk,669,2.7,Pennsylvania,rv,2024-10-24,2024-10-28,FALSE,Donald Trump,42.5
Marquette Law School,256,2.7,Minnesota,lv,2024-09-21,2024-09-25,TRUE,Kamala Harris,44.3
SurveyUSA,662,3,Pennsylvania,rv,2024-10-12,2024-10-16,TRUE,Kamala Harris,44.6
SurveyUSA,1486,2.9,National,lv,2024-10-15,2024-10-19,FALSE,Donald Trump,40.3
Marquette Law School,1972,2.8,Pennsylvania,rv,2024-09-22,2024-09-26,TRUE,Donald Trump,59.5
Beacon/Shaw,2389,2.7,Michigan,lv,2024-10-15,2024-10-18,TRUE,Donald Trump,56.7
SurveyUSA,2270,2.7,Georgia,lv,2024-10-23,2024-10-27,FALSE,Donald Trump,47.6
Siena,838,2.7,Nevada,lv,2024-08-30,2024-09-03,TRUE,Kamala Harris,56.9
Suffolk,1722,2.7,Minnesota,lv,2024-08-07,2024-08-11,TRUE,Donald Trump,54.7
Beacon/Shaw,2482,2.8,National,lv,2024-08-14,2024-08-17,TRUE,Donald Trump,41.1
SurveyUSA,413,2.8,Michigan,lv,2024-10-19,2024-10-22,FALSE,Kamala Harris,40.8
Beacon/Shaw,578,2.9,Nevada,rv,2024-10-24,2024-10-27,TRUE,Kamala Harris,46.5
Suffolk,1511,3,Arizona,rv,2024-10-23,2024-10-26,FALSE,Kamala Harris,51.5
SurveyUSA,2118,2.9,Minnesota,lv,2024-07-25,2024-07-28,TRUE,Donald Trump,59.5
SurveyUSA,1696,2.9,Arizona,rv,2024-10-11,2024-10-15,FALSE,Kamala Harris,53.2
Marquette Law School,1182,2.9,National,rv,2024-07-21,2024-07-25,TRUE,Kamala Harris,48.7
Siena,1637,2.8,Georgia,lv,2024-08-06,2024-08-10,TRUE,Kamala Harris,57.2
Marquette Law School,1050,2.8,Minnesota,lv,2024-09-23,2024-09-26,TRUE,Kamala Harris,41.8
Beacon/Shaw,562,2.9,Michigan,rv,2024-09-03,2024-09-07,FALSE,Kamala Harris,44.2
SurveyUSA,718,3,Nevada,rv,2024-10-20,2024-10-24,TRUE,Kamala Harris,45.8
Siena,1332,2.9,Georgia,lv,2024-08-03,2024-08-06,FALSE,Kamala Harris,46.1
Marquette Law School,1850,3,Nevada,rv,2024-07-18,2024-07-21,TRUE,Kamala Harris,44.2
AtlasIntel,1236,2.8,Wisconsin,rv,2024-08-22,2024-08-26,TRUE,Donald Trump,42.4
Siena,2422,2.7,Georgia,lv,2024-08-26,2024-08-29,FALSE,Kamala Harris,49.2
AtlasIntel,2447,2.8,Arizona,rv,2024-07-17,2024-07-21,TRUE,Donald Trump,54
Beacon/Shaw,607,2.7,Arizona,lv,2024-09-28,2024-10-02,FALSE,Donald Trump,48.9
Beacon/Shaw,2224,2.9,Georgia,lv,2024-07-31,2024-08-03,FALSE,Donald Trump,55.4
Suffolk,2369,2.8,Georgia,lv,2024-07-11,2024-07-14,FALSE,Kamala Harris,47.3
Suffolk,2336,2.7,Georgia,rv,2024-10-26,2024-10-30,TRUE,Kamala Harris,59
SurveyUSA,2347,2.7,Georgia,rv,2024-08-07,2024-08-11,TRUE,Donald Trump,58.4
Siena,2212,2.8,Arizona,lv,2024-08-05,2024-08-09,TRUE,Donald Trump,49.3
Suffolk,1480,3,Michigan,rv,2024-09-03,2024-09-06,FALSE,Kamala Harris,58.2
SurveyUSA,422,2.7,Wisconsin,rv,2024-10-11,2024-10-14,TRUE,Kamala Harris,54.3
AtlasIntel,1648,2.8,Michigan,lv,2024-07-24,2024-07-27,FALSE,Donald Trump,57
Marquette Law School,1669,2.9,Minnesota,lv,2024-07-31,2024-08-04,TRUE,Kamala Harris,40.1
Marquette Law School,2157,2.7,Pennsylvania,rv,2024-10-05,2024-10-09,TRUE,Kamala Harris,55.9
