pollster,numeric_grade,state,population,created_at,hypothetical,candidate_name,pct
Suffolk,2.9,National,lv,10/21/24 08:20,FALSE,Kamala Harris,45.3
Suffolk,2.9,National,lv,10/21/24 08:20,FALSE,Kamala Harris,49.7
U. North Florida,2.8,Florida,lv,10/21/24 08:43,FALSE,Kamala Harris,43
AtlasIntel,2.7,National,lv,10/20/24 13:11,FALSE,Kamala Harris,47.6
AtlasIntel,2.7,National,lv,10/20/24 13:11,FALSE,Kamala Harris,48.1
AtlasIntel,2.7,Arizona,lv,10/20/24 13:11,FALSE,Kamala Harris,48.6
AtlasIntel,2.7,Arizona,lv,10/20/24 13:11,FALSE,Kamala Harris,49.3
AtlasIntel,2.7,Georgia,lv,10/20/24 13:11,FALSE,Kamala Harris,48.1
AtlasIntel,2.7,Georgia,lv,10/20/24 13:11,FALSE,Kamala Harris,48.4
AtlasIntel,2.7,Michigan,lv,10/20/24 13:11,FALSE,Kamala Harris,47.3
AtlasIntel,2.7,Nevada,lv,10/20/24 13:11,FALSE,Kamala Harris,48.1
AtlasIntel,2.7,Nevada,lv,10/20/24 13:11,FALSE,Kamala Harris,48.4
AtlasIntel,2.7,North Carolina,lv,10/20/24 13:11,FALSE,Kamala Harris,49.5
AtlasIntel,2.7,North Carolina,lv,10/20/24 13:11,FALSE,Kamala Harris,50.5
AtlasIntel,2.7,Pennsylvania,lv,10/20/24 13:11,FALSE,Kamala Harris,46.5
AtlasIntel,2.7,Pennsylvania,lv,10/20/24 13:11,FALSE,Kamala Harris,47.4
AtlasIntel,2.7,Wisconsin,lv,10/20/24 13:11,FALSE,Kamala Harris,49
Emerson,2.9,National,lv,10/18/24 08:42,FALSE,Kamala Harris,49.5
YouGov,3,Arizona,lv,10/17/24 19:50,FALSE,Kamala Harris,48
YouGov,3,National,lv,10/16/24 09:34,FALSE,Kamala Harris,49
Washington Post/George Mason University,2.7,Arizona,lv,10/21/24 09:23,FALSE,Kamala Harris,46
Washington Post/George Mason University,2.7,Georgia,lv,10/21/24 09:23,FALSE,Kamala Harris,51
Washington Post/George Mason University,2.7,Michigan,lv,10/21/24 09:24,FALSE,Kamala Harris,49
Washington Post/George Mason University,2.7,Nevada,lv,10/21/24 09:24,FALSE,Kamala Harris,48
Washington Post/George Mason University,2.7,North Carolina,lv,10/21/24 09:24,FALSE,Kamala Harris,47
Washington Post/George Mason University,2.7,Pennsylvania,lv,10/21/24 09:24,FALSE,Kamala Harris,49
Washington Post/George Mason University,2.7,Wisconsin,lv,10/21/24 09:24,FALSE,Kamala Harris,50
